Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,3
2020-02-21,14
2020-02-22,23
2020-02-23,34
2020-02-24,46
2020-02-25,54
2020-02-26,95
2020-02-27,165
2020-02-28,281
2020-02-29,427
2020-03-01,749
2020-03-02,1144
2020-03-03,1824
2020-03-04,2278
2020-03-05,2666
2020-03-06,3710
2020-03-07,4009
2020-03-08,4238
2020-03-09,4530
2020-03-10,5020
2020-03-11,5687
2020-03-12,6370
2020-03-13,7321
2020-03-14,7779
2020-03-15,8624
2020-03-16,9142
2020-03-17,9792
2020-03-18,10516
2020-03-19,11144
2020-03-20,11466
2020-03-21,11419
2020-03-22,12040
2020-03-23,12861
2020-03-24,13964
2020-03-25,15315
2020-03-26,16715
2020-03-27,18821
2020-03-28,21212
2020-03-29,23278
2020-03-30,24827
2020-03-31,27051
2020-04-01,29084
2020-04-02,30597
2020-04-03,31954
2020-04-04,32555
2020-04-05,32612
2020-04-06,32525
2020-04-07,31678
2020-04-08,30781
2020-04-09,29801
2020-04-10,28495
2020-04-11,23725
2020-04-12,23318
2020-04-13,22735
2020-04-14,22065
2020-04-15,21679
2020-04-16,20897
2020-04-17,20472
2020-04-18,19850
2020-04-19,20070
2020-04-20,19023
2020-04-21,18540
2020-04-22,17492
2020-04-23,16702
2020-04-24,16021
2020-04-25,15485
2020-04-26,15114
