Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,4
2020-03-04,6
2020-03-05,6
2020-03-06,6
2020-03-07,6
2020-03-08,6
2020-03-09,6
2020-03-10,9
2020-03-11,9
2020-03-12,21
2020-03-13,27
2020-03-14,27
2020-03-15,27
2020-03-16,36
2020-03-17,36
2020-03-18,51
2020-03-19,51
2020-03-20,69
2020-03-21,76
2020-03-22,76
2020-03-23,81
2020-03-24,81
2020-03-25,86
2020-03-26,86
2020-03-27,94
2020-03-28,94
2020-03-29,94
2020-03-30,152
2020-03-31,152
2020-04-01,163
2020-04-02,304
2020-04-03,351
2020-04-04,440
2020-04-05,562
2020-04-06,700
2020-04-07,861
2020-04-08,1066
2020-04-09,1486
2020-04-10,1981
2020-04-11,2226
2020-04-12,2578
2020-04-13,2919
2020-04-14,3281
2020-04-15,3728
2020-04-16,4204
2020-04-17,4779
2020-04-18,4779
2020-04-19,4779
2020-04-20,6264
2020-04-21,6723
2020-04-22,7281
2020-04-23,8022
2020-04-24,8773
2020-04-25,9590
2020-04-26,10463
2020-04-27,11289
2020-04-28,12208
2020-04-29,13181
2020-04-30,14027
2020-05-01,14917
2020-05-02,15828
2020-05-03,16705
2020-05-04,17489
2020-05-05,18350
2020-05-06,19255
2020-05-07,20168
2020-05-08,21101
2020-05-09,22052
2020-05-10,22973
2020-05-11,23906
2020-05-12,24873
2020-05-13,25825
2020-05-14,26772
2020-05-15,27730
2020-05-16,28681
2020-05-17,29650
2020-05-18,30572
2020-05-19,31508
2020-05-20,32426
2020-05-21,33371
2020-05-22,34303
2020-05-23,35244
2020-05-24,36198
2020-05-25,37144
2020-05-26,38059
2020-05-27,38956
2020-05-28,39858
2020-05-29,40764
2020-05-30,41658
2020-05-31,42556
2020-06-01,43403
2020-06-02,44255
2020-06-03,45116
2020-06-04,45981
2020-06-05,46868
2020-06-06,47751
2020-06-07,48630
2020-06-08,49453
2020-06-09,50265
2020-06-10,51066
2020-06-11,51816
2020-06-12,52520
2020-06-13,53241
2020-06-14,53973
2020-06-15,54680
2020-06-16,55369
2020-06-17,56032
2020-06-18,56657
2020-06-19,57333
2020-06-20,57936
2020-06-21,58505
2020-06-22,59023
2020-06-23,59487
2020-06-24,59945
2020-06-25,60382
2020-06-26,60713
2020-06-27,61095
