Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,3.0
2020-03-04,2.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,12.0
2020-03-13,6.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,9.0
2020-03-17,0.0
2020-03-18,15.0
2020-03-19,0.0
2020-03-20,18.0
2020-03-21,7.0
2020-03-22,0.0
2020-03-23,5.0
2020-03-24,0.0
2020-03-25,5.0
2020-03-26,0.0
2020-03-27,8.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,58.0
2020-03-31,0.0
2020-04-01,11.0
2020-04-02,141.0
2020-04-03,47.0
2020-04-04,89.0
2020-04-05,122.0
2020-04-06,138.0
2020-04-07,161.0
2020-04-08,205.0
2020-04-09,420.0
2020-04-10,495.0
2020-04-11,245.0
2020-04-12,352.0
2020-04-13,341.0
2020-04-14,362.0
2020-04-15,447.0
2020-04-16,476.0
2020-04-17,575.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,1485.0
2020-04-21,459.0
2020-04-22,558.0
2020-04-23,741.0
2020-04-24,751.0
2020-04-25,817.0
2020-04-26,873.0
2020-04-27,826.0
2020-04-28,919.0
2020-04-29,973.0
2020-04-30,846.0
2020-05-01,890.0
2020-05-02,911.0
2020-05-03,877.0
2020-05-04,784.0
2020-05-05,861.0
2020-05-06,905.0
2020-05-07,913.0
2020-05-08,933.0
2020-05-09,951.0
2020-05-10,921.0
2020-05-11,933.0
2020-05-12,967.0
2020-05-13,952.0
2020-05-14,947.0
2020-05-15,958.0
2020-05-16,951.0
2020-05-17,969.0
2020-05-18,922.0
2020-05-19,936.0
2020-05-20,918.0
2020-05-21,945.0
2020-05-22,932.0
2020-05-23,941.0
2020-05-24,954.0
2020-05-25,946.0
2020-05-26,915.0
2020-05-27,897.0
2020-05-28,902.0
2020-05-29,906.0
