Date,Percent (%)
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,nan
2020-02-28,nan
2020-02-29,nan
2020-03-01,nan
2020-03-02,nan
2020-03-03,nan
2020-03-04,nan
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,50
2020-03-15,66.67
2020-03-16,80
2020-03-17,80
2020-03-18,80
2020-03-19,85.71
2020-03-20,90
2020-03-21,92.86
2020-03-22,92.86
2020-03-23,96
2020-03-24,96.97
2020-03-25,97.14
2020-03-26,97.62
2020-03-27,98.11
2020-03-28,98.48
2020-03-29,98.63
2020-03-30,98.72
2020-03-31,98.9
2020-04-01,10.42
2020-04-02,10.15
2020-04-03,10.44
2020-04-04,11.15
2020-04-05,11.89
2020-04-06,11.95
2020-04-07,11.98
2020-04-08,11.85
2020-04-09,12.01
2020-04-10,12.23
2020-04-11,11.74
2020-04-12,11.39
2020-04-13,11.31
2020-04-14,10.63
2020-04-15,10.11
2020-04-16,9.6
2020-04-17,9.02
2020-04-18,8.25
2020-04-19,7.9
2020-04-20,7.78
2020-04-21,7.3
2020-04-22,7.02
2020-04-23,6.82
2020-04-24,6.8
2020-04-25,6.87
2020-04-26,6.78
