Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,2.0
2020-03-16,3.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,2.0
2020-03-20,0.0
2020-03-21,8.0
2020-03-22,1.0
2020-03-23,2.0
2020-03-24,9.0
2020-03-25,1.0
2020-03-26,4.0
2020-03-27,2.0
2020-03-28,2.0
2020-03-29,29.0
2020-03-30,49.0
2020-03-31,50.0
2020-04-01,99.0
2020-04-02,64.0
2020-04-03,23.0
2020-04-04,69.0
2020-04-05,68.0
2020-04-06,63.0
2020-04-07,64.0
2020-04-08,16.0
2020-04-09,35.0
2020-04-10,19.0
2020-04-11,35.0
2020-04-12,41.0
2020-04-13,44.0
2020-04-14,84.0
2020-04-15,42.0
2020-04-16,59.0
2020-04-17,59.0
2020-04-18,280.0
2020-04-19,69.0
2020-04-20,92.0
2020-04-21,150.0
2020-04-22,172.0
2020-04-23,113.0
2020-04-24,124.0
2020-04-25,166.0
2020-04-26,142.0
2020-04-27,174.0
2020-04-28,253.0
2020-04-29,169.0
2020-04-30,210.0
2020-05-01,392.0
2020-05-02,210.0
2020-05-03,369.0
2020-05-04,342.0
2020-05-05,955.0
2020-05-06,1352.0
2020-05-07,1015.0
2020-05-08,1322.0
2020-05-09,1024.0
2020-05-10,1313.0
2020-05-11,1280.0
2020-05-12,2520.0
2020-05-13,2365.0
2020-05-14,1429.0
2020-05-15,2818.0
2020-05-16,1797.0
2020-05-17,2056.0
2020-05-18,3026.0
2020-05-19,2886.0
2020-05-20,1844.0
2020-05-21,2562.0
2020-05-22,2963.0
2020-05-23,2233.0
2020-05-24,2284.0
2020-05-25,2148.0
2020-05-26,2782.0
2020-05-27,2572.0
2020-05-28,3531.0
2020-05-29,2460.0
2020-05-30,1870.0
2020-05-31,3559.0
2020-06-01,1864.0
2020-06-02,1484.0
2020-06-03,2369.0
2020-06-04,806.0
2020-06-05,1651.0
2020-06-06,1175.0
2020-06-07,1026.0
2020-06-08,1707.0
2020-06-09,1815.0
2020-06-10,1615.0
2020-06-11,2065.0
2020-06-12,1010.0
2020-06-13,1519.0
2020-06-14,2172.0
2020-06-15,3170.0
2020-06-16,1650.0
2020-06-17,2122.0
2020-06-18,2253.0
2020-06-19,1849.0
2020-06-20,3153.0
2020-06-21,2213.0
