Date,Percent (%)
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,nan
2020-03-03,nan
2020-03-04,nan
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,3.45
2020-03-25,6.45
2020-03-26,8.33
2020-03-27,7.89
2020-03-28,9.76
2020-03-29,10.81
2020-03-30,6.5
2020-03-31,5.71
2020-04-01,5.71
2020-04-02,6.02
2020-04-03,6.65
2020-04-04,6.46
2020-04-05,6.51
2020-04-06,6.45
2020-04-07,6.25
2020-04-08,6.1
2020-04-09,6.2
2020-04-10,6.42
2020-04-11,6.74
2020-04-12,7.2
2020-04-13,7.47
2020-04-14,7.59
2020-04-15,7.82
2020-04-16,7.74
2020-04-17,7.66
2020-04-18,6.47
2020-04-19,6.49
2020-04-20,6.47
2020-04-21,6.23
2020-04-22,5.92
2020-04-23,5.91
2020-04-24,5.84
2020-04-25,5.78
2020-04-26,5.57
2020-04-27,5.38
2020-04-28,5.18
2020-04-29,5.05
2020-04-30,4.87
2020-05-01,4.54
2020-05-02,4.47
2020-05-03,4.26
2020-05-04,4.09
2020-05-05,3.55
2020-05-06,2.99
2020-05-07,2.73
2020-05-08,2.45
2020-05-09,2.3
2020-05-10,2.1
2020-05-11,1.96
2020-05-12,1.7
2020-05-13,1.53
2020-05-14,1.46
2020-05-15,1.32
2020-05-16,1.26
2020-05-17,1.2
2020-05-18,1.1
2020-05-19,1.03
2020-05-20,1
2020-05-21,0.96
2020-05-22,0.92
2020-05-23,0.91
2020-05-24,0.89
2020-05-25,0.87
2020-05-26,0.84
2020-05-27,0.83
2020-05-28,0.8
2020-05-29,0.8
2020-05-30,0.81
2020-05-31,0.8
2020-06-01,0.81
2020-06-02,0.83
2020-06-03,0.84
2020-06-04,0.88
2020-06-05,0.9
2020-06-06,0.93
2020-06-07,0.97
2020-06-08,0.99
2020-06-09,1.02
2020-06-10,1.04
2020-06-11,1.06
2020-06-12,1.09
2020-06-13,1.12
2020-06-14,1.13
2020-06-15,1.14
2020-06-16,1.16
2020-06-17,1.18
2020-06-18,1.2
2020-06-19,1.22
2020-06-20,1.23
2020-06-21,1.24
