Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,3.0
2020-03-06,0.0
2020-03-07,2.0
2020-03-08,4.0
2020-03-09,9.0
2020-03-10,0.0
2020-03-11,25.0
2020-03-12,0.0
2020-03-13,41.0
2020-03-14,17.0
2020-03-15,15.0
2020-03-16,15.0
2020-03-17,38.0
2020-03-18,67.0
2020-03-19,36.0
2020-03-20,70.0
2020-03-21,48.0
2020-03-22,119.0
2020-03-23,51.0
2020-03-24,205.0
2020-03-25,133.0
2020-03-26,112.0
2020-03-27,92.0
2020-03-28,99.0
2020-03-29,96.0
2020-03-30,154.0
2020-03-31,110.0
2020-04-01,157.0
2020-04-02,165.0
2020-04-03,154.0
2020-04-04,140.0
2020-04-05,223.0
2020-04-06,203.0
2020-04-07,190.0
2020-04-08,137.0
2020-04-09,355.0
2020-04-10,364.0
2020-04-11,382.0
2020-04-12,429.0
2020-04-13,472.0
2020-04-14,435.0
2020-04-15,493.0
2020-04-16,518.0
2020-04-17,762.0
2020-04-18,1132.0
2020-04-19,1088.0
2020-04-20,1122.0
2020-04-21,1147.0
2020-04-22,1141.0
2020-04-23,1158.0
2020-04-24,1172.0
2020-04-25,1197.0
2020-04-26,1223.0
2020-04-27,1289.0
2020-04-28,1266.0
2020-04-29,1325.0
2020-04-30,1351.0
2020-05-01,1344.0
2020-05-02,1362.0
2020-05-03,1552.0
2020-05-04,1645.0
2020-05-05,1595.0
2020-05-06,1687.0
2020-05-07,1793.0
2020-05-08,1701.0
2020-05-09,1704.0
2020-05-10,1912.0
2020-05-11,1966.0
2020-05-12,1911.0
2020-05-13,1905.0
2020-05-14,2039.0
2020-05-15,2307.0
2020-05-16,2840.0
2020-05-17,2736.0
2020-05-18,2593.0
2020-05-19,2509.0
2020-05-20,2691.0
2020-05-21,2532.0
2020-05-22,2642.0
2020-05-23,2442.0
2020-05-24,2399.0
2020-05-25,2235.0
2020-05-26,1931.0
2020-05-27,1815.0
2020-05-28,1644.0
2020-05-29,1581.0
2020-05-30,1618.0
2020-05-31,1877.0
2020-06-01,1881.0
2020-06-02,1869.0
2020-06-03,2171.0
2020-06-04,1975.0
2020-06-05,2591.0
2020-06-06,3121.0
2020-06-07,3045.0
2020-06-08,3369.0
2020-06-09,3288.0
2020-06-10,3717.0
2020-06-11,3733.0
2020-06-12,3921.0
2020-06-13,3366.0
2020-06-14,4233.0
2020-06-15,4507.0
2020-06-16,4267.0
2020-06-17,4919.0
2020-06-18,4757.0
2020-06-19,4301.0
2020-06-20,3941.0
2020-06-21,3379.0
2020-06-22,3393.0
2020-06-23,3139.0
2020-06-24,3123.0
2020-06-25,3372.0
2020-06-26,3938.0
2020-06-27,3927.0
