Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,4
2020-03-26,4
2020-03-27,5
2020-03-28,7
2020-03-29,7
2020-03-30,7
2020-03-31,8
2020-04-01,8
2020-04-02,9
2020-04-03,9
2020-04-04,11
2020-04-05,13
2020-04-06,15
2020-04-07,15
2020-04-08,15
2020-04-09,16
2020-04-10,22
2020-04-11,23
2020-04-12,23
2020-04-13,24
2020-04-14,29
2020-04-15,30
2020-04-16,32
2020-04-17,33
2020-04-18,33
2020-04-19,35
2020-04-20,37
2020-04-21,38
2020-04-22,38
2020-04-23,40
2020-04-24,40
2020-04-25,41
2020-04-26,41
