Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,0.0
2020-03-06,4.0
2020-03-07,1.0
2020-03-08,5.0
2020-03-09,6.0
2020-03-10,5.0
2020-03-11,9.0
2020-03-12,20.0
2020-03-13,17.0
2020-03-14,36.0
2020-03-15,21.0
2020-03-16,52.0
2020-03-17,61.0
2020-03-18,49.0
2020-03-19,68.0
2020-03-20,70.0
2020-03-21,111.0
2020-03-22,98.0
2020-03-23,115.0
2020-03-24,152.0
2020-03-25,150.0
2020-03-26,170.0
2020-03-27,168.0
2020-03-28,249.0
2020-03-29,224.0
2020-03-30,193.0
2020-03-31,256.0
2020-04-01,243.0
2020-04-02,392.0
2020-04-03,437.0
2020-04-04,244.0
2020-04-05,475.0
2020-04-06,311.0
2020-04-07,435.0
2020-04-08,357.0
2020-04-09,370.0
2020-04-10,380.0
2020-04-11,401.0
2020-04-12,318.0
2020-04-13,260.0
2020-04-14,268.0
2020-04-15,380.0
2020-04-16,336.0
2020-04-17,461.0
2020-04-18,363.0
2020-04-19,545.0
2020-04-20,306.0
2020-04-21,263.0
2020-04-22,313.0
2020-04-23,342.0
2020-04-24,381.0
2020-04-25,381.0
2020-04-26,344.0
2020-04-27,285.0
2020-04-28,316.0
2020-04-29,422.0
2020-04-30,237.0
2020-05-01,228.0
2020-05-02,270.0
2020-05-03,318.0
2020-05-04,313.0
2020-05-05,425.0
2020-05-06,309.0
2020-05-07,307.0
2020-05-08,319.0
2020-05-09,285.0
2020-05-10,345.0
2020-05-11,330.0
2020-05-12,595.0
2020-05-13,283.0
