Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,6
2020-03-08,7
2020-03-09,9
2020-03-10,11
2020-03-11,17
2020-03-12,22
2020-03-13,38
2020-03-14,43
2020-03-15,71
2020-03-16,86
2020-03-17,117
2020-03-18,145
2020-03-19,234
2020-03-20,263
2020-03-21,318
2020-03-22,363
2020-03-23,395
2020-03-24,416
2020-03-25,480
2020-03-26,580
2020-03-27,635
2020-03-28,671
2020-03-29,852
2020-03-30,950
2020-03-31,1065
2020-04-01,1323
2020-04-02,1414
2020-04-03,1595
2020-04-04,1746
2020-04-05,2281
2020-04-06,2561
2020-04-07,2954
2020-04-08,4342
2020-04-09,5256
2020-04-10,5897
2020-04-11,6848
2020-04-12,7519
2020-04-13,9784
2020-04-14,10303
2020-04-15,11475
2020-04-16,12491
2020-04-17,13489
2020-04-18,14420
2020-04-19,15628
2020-04-20,16325
2020-04-21,17837
2020-04-22,19250
2020-04-23,20914
2020-04-24,21648
2020-04-25,25331
2020-04-26,27517
2020-04-27,28699
2020-04-28,31190
2020-04-29,33931
2020-04-30,36976
2020-05-01,40459
2020-05-02,42534
2020-05-03,45928
2020-05-04,47372
2020-05-05,51189
2020-05-06,54817
2020-05-07,58526
2020-05-08,61847
2020-05-09,65015
2020-05-10,67307
2020-05-11,68822
2020-05-12,72059
2020-05-13,76306
2020-05-14,80604
2020-05-15,84495
2020-05-16,88541
2020-05-17,92273
2020-05-18,94933
2020-05-19,99483
2020-05-20,104020
2020-05-21,108769
2020-05-22,111698
2020-05-23,115754
2020-05-24,119959
2020-05-25,123979
2020-05-26,129751
2020-05-27,135905
2020-05-28,141779
2020-05-29,148285
2020-05-30,155671
2020-05-31,164476
2020-06-01,170039
2020-06-02,174884
2020-06-03,178914
2020-06-04,183198
2020-06-05,187400
2020-06-06,191758
2020-06-07,196515
2020-06-08,199696
2020-06-09,203736
2020-06-10,208823
2020-06-11,214788
2020-06-12,220749
2020-06-13,225132
2020-06-14,229736
2020-06-15,232992
2020-06-16,237156
2020-06-17,240908
2020-06-18,244388
2020-06-19,247925
2020-06-20,251338
2020-06-21,254936
