Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,6
2020-03-08,7
2020-03-09,9
2020-03-10,11
2020-03-11,17
2020-03-12,22
2020-03-13,38
2020-03-14,43
2020-03-15,71
2020-03-16,85
2020-03-17,116
2020-03-18,144
2020-03-19,232
2020-03-20,258
2020-03-21,312
2020-03-22,357
2020-03-23,389
2020-03-24,408
2020-03-25,470
2020-03-26,557
2020-03-27,608
2020-03-28,639
2020-03-29,818
2020-03-30,873
2020-03-31,641
2020-04-01,891
2020-04-02,822
2020-04-03,997
2020-04-04,759
2020-04-05,1209
2020-04-06,1472
2020-04-07,1546
2020-04-08,2888
2020-04-09,3680
2020-04-10,4159
2020-04-11,4928
2020-04-12,5528
2020-04-13,6926
2020-04-14,7204
2020-04-15,8113
2020-04-16,6097
2020-04-17,6648
2020-04-18,7388
2020-04-19,8417
2020-04-20,8912
2020-04-21,10371
2020-04-22,11693
2020-04-23,12920
2020-04-24,13518
2020-04-25,16834
2020-04-26,18701
