Date,Total Coronavirus Cases
2020-01-22,571
2020-01-23,830
2020-01-24,1287
2020-01-25,1975
2020-01-26,2744
2020-01-27,4515
2020-01-28,5974
2020-01-29,7711
2020-01-30,9692
2020-01-31,11791
2020-02-01,14380
2020-02-02,17205
2020-02-03,20440
2020-02-04,24324
2020-02-05,28018
2020-02-06,31161
2020-02-07,34546
2020-02-08,37198
2020-02-09,40171
2020-02-10,42638
2020-02-11,44653
2020-02-12,58761
2020-02-13,63851
2020-02-14,66492
2020-02-15,68500
2020-02-16,70548
2020-02-17,72436
2020-02-18,74185
2020-02-19,74576
2020-02-20,75465
2020-02-21,76288
2020-02-22,76936
2020-02-23,77150
2020-02-24,77658
2020-02-25,78064
2020-02-26,78497
2020-02-27,78824
2020-02-28,79251
2020-02-29,79824
2020-03-01,80026
2020-03-02,80151
2020-03-03,80270
2020-03-04,80409
2020-03-05,80552
2020-03-06,80651
2020-03-07,80695
2020-03-08,80735
2020-03-09,80754
2020-03-10,80778
2020-03-11,80793
2020-03-12,80813
2020-03-13,80824
2020-03-14,80844
2020-03-15,80860
2020-03-16,80881
2020-03-17,80894
2020-03-18,80928
2020-03-19,80967
2020-03-20,81008
2020-03-21,81054
2020-03-22,81093
2020-03-23,81171
2020-03-24,81218
2020-03-25,81285
2020-03-26,81340
2020-03-27,81394
2020-03-28,81439
2020-03-29,81439
2020-03-30,81518
2020-03-31,81554
2020-04-01,81589
2020-04-02,81620
2020-04-03,81639
2020-04-04,81669
2020-04-05,81708
2020-04-06,81740
2020-04-07,81802
2020-04-08,81865
2020-04-09,81907
2020-04-10,81953
2020-04-11,82052
2020-04-12,82160
2020-04-13,82249
2020-04-14,82295
2020-04-15,82341
2020-04-16,82367
2020-04-17,82692
2020-04-18,82719
2020-04-19,82735
2020-04-20,82747
2020-04-21,82758
2020-04-22,82788
2020-04-23,82798
2020-04-24,82804
2020-04-25,82816
2020-04-26,82827
