Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,3
2020-03-08,5
2020-03-09,7
2020-03-10,7
2020-03-11,10
2020-03-12,21
2020-03-13,32
2020-03-14,44
2020-03-15,61
2020-03-16,72
2020-03-17,97
2020-03-18,105
2020-03-19,124
2020-03-20,137
2020-03-21,171
2020-03-22,178
2020-03-23,179
2020-03-24,197
2020-03-25,209
2020-03-26,224
2020-03-27,267
2020-03-28,290
2020-03-29,312
2020-03-30,329
2020-03-31,360
2020-04-01,396
2020-04-02,420
2020-04-03,441
2020-04-04,462
2020-04-05,476
2020-04-06,524
2020-04-07,566
2020-04-08,664
2020-04-09,676
2020-04-10,690
2020-04-11,703
2020-04-12,717
2020-04-13,660
2020-04-14,720
2020-04-15,706
2020-04-16,802
2020-04-17,865
2020-04-18,865
2020-04-19,920
2020-04-20,909
2020-04-21,927
2020-04-22,946
2020-04-23,1022
2020-04-24,988
2020-04-25,970
2020-04-26,967
2020-04-27,960
2020-04-28,941
2020-04-29,885
2020-04-30,849
2020-05-01,822
2020-05-02,775
2020-05-03,765
2020-05-04,745
2020-05-05,655
2020-05-06,642
2020-05-07,613
2020-05-08,524
2020-05-09,510
2020-05-10,490
2020-05-11,472
2020-05-12,455
2020-05-13,382
