Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.0
2020-03-07,1.0
2020-03-08,4.0
2020-03-09,14.0
2020-03-10,9.0
2020-03-11,16.0
2020-03-12,3.0
2020-03-13,12.0
2020-03-14,47.0
2020-03-15,29.0
2020-03-16,2.0
2020-03-17,45.0
2020-03-18,15.0
2020-03-19,15.0
2020-03-20,13.0
2020-03-21,77.0
2020-03-22,73.0
2020-03-23,82.0
2020-03-24,90.0
2020-03-25,84.0
2020-03-26,71.0
2020-03-27,96.0
2020-03-28,272.0
2020-03-29,343.0
2020-03-30,128.0
2020-03-31,538.0
2020-04-01,227.0
2020-04-02,322.0
2020-04-03,385.0
2020-04-04,76.0
2020-04-05,152.0
2020-04-06,414.0
2020-04-07,104.0
2020-04-08,106.0
2020-04-09,206.0
2020-04-10,119.0
2020-04-11,233.0
2020-04-12,220.0
2020-04-13,284.0
2020-04-14,291.0
2020-04-15,230.0
2020-04-16,207.0
2020-04-17,218.0
2020-04-18,209.0
2020-04-19,172.0
2020-04-20,200.0
2020-04-21,140.0
2020-04-22,111.0
2020-04-23,271.0
2020-04-24,211.0
2020-04-25,102.0
2020-04-26,285.0
