Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,2.0
2020-02-27,0.0
2020-02-28,2.0
2020-02-29,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,1.0
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,2.0
2020-03-11,4.0
2020-03-12,8.0
2020-03-13,5.0
2020-03-14,7.0
2020-03-15,10.0
2020-03-16,8.0
2020-03-17,12.0
2020-03-18,20.0
2020-03-19,21.0
2020-03-20,20.0
2020-03-21,76.0
2020-03-22,48.0
2020-03-23,61.0
2020-03-24,67.0
2020-03-25,60.0
2020-03-26,53.0
2020-03-27,91.0
2020-03-28,71.0
2020-03-29,56.0
2020-03-30,77.0
2020-03-31,77.0
2020-04-01,96.0
2020-04-02,48.0
2020-04-03,68.0
2020-04-04,47.0
2020-04-05,56.0
2020-04-06,40.0
2020-04-07,60.0
2020-04-08,61.0
2020-04-09,64.0
2020-04-10,88.0
2020-04-11,39.0
2020-04-12,66.0
2020-04-13,50.0
2020-04-14,54.0
2020-04-15,37.0
2020-04-16,50.0
2020-04-17,23.0
2020-04-18,18.0
2020-04-19,39.0
2020-04-20,10.0
2020-04-21,27.0
2020-04-22,42.0
2020-04-23,31.0
2020-04-24,28.0
2020-04-25,7.0
2020-04-26,14.0
2020-04-27,9.0
2020-04-28,8.0
2020-04-29,15.0
2020-04-30,14.0
2020-05-01,9.0
2020-05-02,3.0
2020-05-03,8.0
2020-05-04,5.0
2020-05-05,11.0
2020-05-06,7.0
2020-05-07,6.0
2020-05-08,36.0
2020-05-09,15.0
2020-05-10,11.0
2020-05-11,9.0
2020-05-12,11.0
2020-05-13,6.0
2020-05-14,8.0
2020-05-15,1.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,4.0
2020-05-20,2.0
2020-05-21,3.0
2020-05-22,6.0
2020-05-23,0.0
2020-05-24,1.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,1.0
2020-05-29,0.0
2020-05-30,1.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,1.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,2.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,2.0
2020-06-14,1.0
2020-06-15,2.0
2020-06-16,1.0
2020-06-17,3.0
2020-06-18,11.0
2020-06-19,11.0
2020-06-20,19.0
2020-06-21,18.0
