Date,Total Coronavirus Cases
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,4
2020-02-21,21
2020-02-22,79
2020-02-23,157
2020-02-24,229
2020-02-25,323
2020-02-26,470
2020-02-27,655
2020-02-28,889
2020-02-29,1128
2020-03-01,1701
2020-03-02,2036
2020-03-03,2502
2020-03-04,3089
2020-03-05,3858
2020-03-06,4636
2020-03-07,5883
2020-03-08,7375
2020-03-09,9172
2020-03-10,10149
2020-03-11,12462
2020-03-12,15113
2020-03-13,17660
2020-03-14,21157
2020-03-15,24747
2020-03-16,27980
2020-03-17,31506
2020-03-18,35713
2020-03-19,41035
2020-03-20,47021
2020-03-21,53578
2020-03-22,59138
2020-03-23,63927
2020-03-24,69176
2020-03-25,74386
2020-03-26,80589
2020-03-27,86498
2020-03-28,92472
2020-03-29,97689
2020-03-30,101739
2020-03-31,105792
2020-04-01,110574
2020-04-02,115242
2020-04-03,119827
2020-04-04,124632
2020-04-05,128948
2020-04-06,132547
2020-04-07,135586
2020-04-08,139422
2020-04-09,143626
2020-04-10,147577
2020-04-11,152271
2020-04-12,156363
2020-04-13,159516
2020-04-14,162488
2020-04-15,165155
2020-04-16,168941
2020-04-17,172434
2020-04-18,175925
2020-04-19,178972
2020-04-20,181228
2020-04-21,183957
2020-04-22,187327
2020-04-23,189973
2020-04-24,192994
2020-04-25,195351
2020-04-26,197675
2020-04-27,199414
2020-04-28,201505
2020-04-29,203591
2020-04-30,205463
2020-05-01,207428
2020-05-02,209328
2020-05-03,210717
2020-05-04,211938
2020-05-05,213013
2020-05-06,214457
2020-05-07,215858
2020-05-08,217185
2020-05-09,218268
2020-05-10,219070
2020-05-11,219814
2020-05-12,221216
2020-05-13,222104
2020-05-14,223096
2020-05-15,223885
2020-05-16,224760
2020-05-17,225435
2020-05-18,225886
2020-05-19,226699
2020-05-20,227364
2020-05-21,228006
2020-05-22,228658
2020-05-23,229327
2020-05-24,229858
2020-05-25,230158
2020-05-26,230555
2020-05-27,231139
2020-05-28,231732
2020-05-29,232248
