Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,3
2020-03-02,9
2020-03-03,13
2020-03-04,25
2020-03-05,37
2020-03-06,44
2020-03-07,49
2020-03-08,57
2020-03-09,64
2020-03-10,80
2020-03-11,85
2020-03-12,117
2020-03-13,134
2020-03-14,161
2020-03-15,180
2020-03-16,199
2020-03-17,242
2020-03-18,245
2020-03-19,325
2020-03-20,404
2020-03-21,467
2020-03-22,562
2020-03-23,536
2020-03-24,595
2020-03-25,679
2020-03-26,718
2020-03-27,791
2020-03-28,847
2020-03-29,883
2020-03-30,927
2020-03-31,935
2020-04-01,982
2020-04-02,1031
2020-04-03,1051
2020-04-04,1017
2020-04-05,1054
2020-04-06,1096
2020-04-07,1021
2020-04-08,977
2020-04-09,954
2020-04-10,917
2020-04-11,840
2020-04-12,804
2020-04-13,770
2020-04-14,723
2020-04-15,642
2020-04-16,587
2020-04-17,521
2020-04-18,460
2020-04-19,471
2020-04-20,401
2020-04-21,351
2020-04-22,313
2020-04-23,270
2020-04-24,237
2020-04-25,210
2020-04-26,174
2020-04-27,158
2020-04-28,149
2020-04-29,131
2020-04-30,117
2020-05-01,99
2020-05-02,82
2020-05-03,72
2020-05-04,66
2020-05-05,56
2020-05-06,39
2020-05-07,36
2020-05-08,26
2020-05-09,18
2020-05-10,18
2020-05-11,18
2020-05-12,15
2020-05-13,12
2020-05-14,12
2020-05-15,10
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,3
2020-05-20,4
2020-05-21,3
2020-05-22,2
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,2
2020-05-27,3
2020-05-28,3
2020-05-29,1
2020-05-30,2
2020-05-31,2
2020-06-01,2
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,2
2020-06-06,2
2020-06-07,3
2020-06-08,3
2020-06-09,3
2020-06-10,3
2020-06-11,3
2020-06-12,3
2020-06-13,4
2020-06-14,4
2020-06-15,4
2020-06-16,6
2020-06-17,8
2020-06-18,5
2020-06-19,8
2020-06-20,7
2020-06-21,8
