Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,4
2020-03-06,4
2020-03-07,5
2020-03-08,7
2020-03-09,9
2020-03-10,12
2020-03-11,13
2020-03-12,16
2020-03-13,18
2020-03-14,29
2020-03-15,30
2020-03-16,36
2020-03-17,47
2020-03-18,55
2020-03-19,70
2020-03-20,74
2020-03-21,92
2020-03-22,109
2020-03-23,138
2020-03-24,157
2020-03-25,195
2020-03-26,223
2020-03-27,256
2020-03-28,298
2020-03-29,361
2020-03-30,398
2020-03-31,439
2020-04-01,465
2020-04-02,522
2020-04-03,554
2020-04-04,588
2020-04-05,633
2020-04-06,639
2020-04-07,699
2020-04-08,743
2020-04-09,818
2020-04-10,1001
2020-04-11,1110
2020-04-12,1193
2020-04-13,1229
2020-04-14,1268
2020-04-15,1253
2020-04-16,1311
2020-04-17,1400
2020-04-18,1431
2020-04-19,1477
2020-04-20,1518
2020-04-21,1598
2020-04-22,1648
2020-04-23,1655
2020-04-24,1732
2020-04-25,1723
2020-04-26,1743
2020-04-27,1805
2020-04-28,1842
2020-04-29,1891
2020-04-30,1882
2020-05-01,1931
2020-05-02,1982
2020-05-03,2029
2020-05-04,2054
2020-05-05,1993
2020-05-06,1979
2020-05-07,1966
2020-05-08,1921
2020-05-09,1904
2020-05-10,1917
2020-05-11,1905
2020-05-12,1881
2020-05-13,1809
2020-05-14,1775
2020-05-15,1688
2020-05-16,1654
2020-05-17,1662
2020-05-18,1673
2020-05-19,1677
2020-05-20,1674
2020-05-21,1659
2020-05-22,1615
