Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,4
2020-03-19,6
2020-03-20,6
2020-03-21,6
2020-03-22,6
2020-03-23,9
2020-03-24,9
2020-03-25,9
2020-03-26,12
2020-03-27,12
2020-03-28,12
2020-03-29,12
2020-03-30,12
2020-03-31,15
2020-04-01,15
2020-04-02,15
2020-04-03,16
2020-04-04,16
2020-04-05,16
2020-04-06,16
2020-04-07,16
2020-04-08,18
2020-04-09,18
2020-04-10,18
2020-04-11,18
2020-04-12,21
2020-04-13,21
2020-04-14,41
2020-04-15,51
2020-04-16,51
2020-04-17,79
2020-04-18,79
2020-04-19,79
2020-04-20,153
2020-04-21,209
2020-04-22,209
2020-04-23,209
2020-04-24,214
2020-04-25,258
2020-04-26,258
2020-04-27,258
2020-04-28,315
2020-04-29,315
2020-04-30,315
2020-05-01,315
2020-05-02,315
2020-05-03,315
2020-05-04,315
2020-05-05,315
2020-05-06,439
2020-05-07,439
2020-05-08,439
2020-05-09,439
2020-05-10,439
2020-05-11,439
2020-05-12,439
2020-05-13,522
