Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,3
2020-03-30,5
2020-03-31,7
2020-04-01,7
2020-04-02,8
2020-04-03,8
2020-04-04,9
2020-04-05,9
2020-04-06,9
2020-04-07,10
2020-04-08,10
2020-04-09,11
2020-04-10,11
2020-04-11,11
2020-04-12,18
2020-04-13,23
2020-04-14,23
2020-04-15,23
2020-04-16,27
2020-04-17,27
2020-04-18,33
2020-04-19,33
2020-04-20,33
2020-04-21,33
2020-04-22,33
2020-04-23,33
2020-04-24,40
2020-04-25,46
2020-04-26,46
2020-04-27,46
2020-04-28,52
2020-04-29,52
2020-04-30,73
2020-05-01,73
2020-05-02,117
2020-05-03,117
2020-05-04,117
2020-05-05,170
2020-05-06,170
2020-05-07,253
2020-05-08,260
2020-05-09,322
2020-05-10,322
2020-05-11,322
2020-05-12,357
2020-05-13,372
2020-05-14,399
2020-05-15,428
2020-05-16,474
2020-05-17,503
2020-05-18,519
2020-05-19,545
2020-05-20,565
2020-05-21,588
2020-05-22,611
2020-05-23,648
2020-05-24,675
2020-05-25,687
2020-05-26,700
2020-05-27,715
2020-05-28,726
2020-05-29,759
2020-05-30,759
2020-05-31,778
2020-06-01,790
2020-06-02,803
2020-06-03,820
2020-06-04,828
2020-06-05,836
2020-06-06,836
2020-06-07,837
2020-06-08,839
2020-06-09,844
2020-06-10,846
2020-06-11,848
2020-06-12,848
2020-06-13,848
2020-06-14,850
2020-06-15,850
2020-06-16,853
2020-06-17,854
2020-06-18,854
2020-06-19,858
2020-06-20,858
2020-06-21,858
2020-06-22,858
2020-06-23,860
2020-06-24,860
2020-06-25,863
2020-06-26,865
2020-06-27,865
