Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,6
2020-03-24,6
2020-03-25,6
2020-03-26,6
2020-03-27,6
2020-03-28,6
2020-03-29,6
2020-03-30,6
2020-03-31,9
2020-04-01,13
2020-04-02,13
2020-04-03,16
2020-04-04,16
2020-04-05,22
2020-04-06,26
2020-04-07,26
2020-04-08,26
2020-04-09,26
2020-04-10,35
2020-04-11,35
2020-04-12,35
2020-04-13,35
2020-04-14,35
2020-04-15,35
2020-04-16,35
2020-04-17,35
2020-04-18,35
2020-04-19,35
2020-04-20,54
2020-04-21,54
2020-04-22,54
2020-04-23,54
2020-04-24,54
2020-04-25,54
2020-04-26,64
2020-04-27,64
2020-04-28,64
2020-04-29,64
2020-04-30,64
2020-05-01,90
2020-05-02,90
2020-05-03,90
2020-05-04,96
2020-05-05,96
2020-05-06,96
2020-05-07,140
2020-05-08,242
2020-05-09,284
2020-05-10,319
2020-05-11,319
2020-05-12,327
2020-05-13,327
2020-05-14,339
2020-05-15,339
2020-05-16,339
2020-05-17,339
2020-05-18,339
2020-05-19,130
2020-05-20,130
2020-05-21,135
2020-05-22,135
2020-05-23,135
2020-05-24,191
2020-05-25,191
2020-05-26,208
2020-05-27,210
2020-05-28,210
2020-05-29,224
2020-05-30,224
2020-05-31,232
2020-06-01,243
2020-06-02,244
2020-06-03,244
2020-06-04,261
2020-06-05,261
2020-06-06,261
2020-06-07,261
2020-06-08,288
2020-06-09,305
2020-06-10,305
2020-06-11,305
2020-06-12,388
2020-06-13,412
2020-06-14,442
2020-06-15,483
2020-06-16,532
2020-06-17,572
2020-06-18,597
2020-06-19,650
2020-06-20,650
2020-06-21,765
