Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,8
2020-03-02,8
2020-03-03,10
2020-03-04,16
2020-03-05,21
2020-03-06,23
2020-03-07,26
2020-03-08,36
2020-03-09,49
2020-03-10,60
2020-03-11,66
2020-03-12,67
2020-03-13,73
2020-03-14,92
2020-03-15,98
2020-03-16,96
2020-03-17,104
2020-03-18,122
2020-03-19,126
2020-03-20,133
2020-03-21,136
2020-03-22,151
2020-03-23,163
2020-03-24,162
2020-03-25,183
2020-03-26,183
2020-03-27,196
2020-03-28,196
2020-03-29,196
2020-03-30,192
2020-03-31,197
2020-04-01,195
2020-04-02,194
2020-04-03,193
2020-04-04,200
2020-04-05,199
2020-04-06,210
2020-04-07,205
2020-04-08,229
2020-04-09,250
2020-04-10,260
2020-04-11,268
2020-04-12,268
2020-04-13,282
2020-04-14,283
2020-04-15,304
2020-04-16,333
2020-04-17,339
2020-04-18,356
2020-04-19,362
2020-04-20,362
2020-04-21,374
2020-04-22,386
2020-04-23,398
2020-04-24,409
2020-04-25,409
2020-04-26,433
2020-04-27,433
2020-04-28,448
2020-04-29,453
2020-04-30,450
2020-05-01,457
2020-05-02,456
2020-05-03,455
2020-05-04,455
2020-05-05,456
2020-05-06,470
2020-05-07,475
2020-05-08,468
2020-05-09,461
2020-05-10,461
2020-05-11,457
2020-05-12,436
2020-05-13,441
