Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,6.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,34.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,40.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,420.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,26.0
2020-04-16,26.0
2020-04-17,27.0
2020-04-18,22.0
2020-04-19,26.0
2020-04-20,10.0
2020-04-21,33.0
2020-04-22,41.0
2020-04-23,17.0
2020-04-24,2279.0
2020-04-25,81.0
2020-04-26,16.0
2020-04-27,19.0
2020-04-28,0.0
2020-04-29,11.0
2020-04-30,79.0
2020-05-01,0.0
2020-05-02,105.0
2020-05-03,61.0
2020-05-04,26.0
2020-05-05,7.0
2020-05-06,40.0
2020-05-07,53.0
2020-05-08,21.0
2020-05-09,24.0
