Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,3
2020-03-07,4
2020-03-08,5
2020-03-09,5
2020-03-10,7
2020-03-11,7
2020-03-12,26
2020-03-13,37
2020-03-14,50
2020-03-15,76
2020-03-16,80
2020-03-17,139
2020-03-18,201
2020-03-19,325
2020-03-20,473
2020-03-21,656
2020-03-22,784
2020-03-23,861
2020-03-24,1085
2020-03-25,1319
2020-03-26,1438
2020-03-27,1550
2020-03-28,1773
2020-03-29,1889
2020-03-30,1926
2020-03-31,2075
2020-04-01,2210
2020-04-02,2377
2020-04-03,2081
2020-04-04,2198
2020-04-05,2268
2020-04-06,2302
2020-04-07,2426
2020-04-08,2488
2020-04-09,2563
2020-04-10,2669
2020-04-11,2708
2020-04-12,2715
2020-04-13,2723
2020-04-14,2740
2020-04-15,2778
2020-04-16,2823
2020-04-17,2829
2020-04-18,2864
2020-04-19,2850
2020-04-20,2846
2020-04-21,2870
2020-04-22,2863
2020-04-23,2854
2020-04-24,603
2020-04-25,538
2020-04-26,531
2020-04-27,518
2020-04-28,529
2020-04-29,546
2020-04-30,481
2020-05-01,497
2020-05-02,402
2020-05-03,349
2020-05-04,327
2020-05-05,332
2020-05-06,301
2020-05-07,254
2020-05-08,245
2020-05-09,226
2020-05-10,199
2020-05-11,185
2020-05-12,182
2020-05-13,172
2020-05-14,147
2020-05-15,137
2020-05-16,127
2020-05-17,136
2020-05-18,125
2020-05-19,131
2020-05-20,134
2020-05-21,130
2020-05-22,124
2020-05-23,123
2020-05-24,115
2020-05-25,102
2020-05-26,102
2020-05-27,100
2020-05-28,95
2020-05-29,87
2020-05-30,91
2020-05-31,75
2020-06-01,64
2020-06-02,62
2020-06-03,53
2020-06-04,43
2020-06-05,37
2020-06-06,37
2020-06-07,30
2020-06-08,29
2020-06-09,34
2020-06-10,35
2020-06-11,32
2020-06-12,27
2020-06-13,31
2020-06-14,31
2020-06-15,31
2020-06-16,32
2020-06-17,40
2020-06-18,41
2020-06-19,45
2020-06-20,44
2020-06-21,54
2020-06-22,52
2020-06-23,64
2020-06-24,65
2020-06-25,73
2020-06-26,95
2020-06-27,129
