Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,3
2020-03-10,3
2020-03-11,9
2020-03-12,9
2020-03-13,16
2020-03-14,24
2020-03-15,34
2020-03-16,53
2020-03-17,64
2020-03-18,92
2020-03-19,107
2020-03-20,144
2020-03-21,195
2020-03-22,226
2020-03-23,271
2020-03-24,369
2020-03-25,458
2020-03-26,477
2020-03-27,523
2020-03-28,592
2020-03-29,682
2020-03-30,769
2020-03-31,859
2020-04-01,1009
2020-04-02,1087
2020-04-03,1187
2020-04-04,1289
2020-04-05,1362
2020-04-06,1445
2020-04-07,1630
2020-04-08,1876
2020-04-09,1980
2020-04-10,2196
2020-04-11,2395
2020-04-12,2397
2020-04-13,2421
2020-04-14,2498
2020-04-15,2522
2020-04-16,2539
2020-04-17,2652
2020-04-18,2764
2020-04-19,2902
2020-04-20,2984
2020-04-21,3149
2020-04-22,3280
2020-04-23,3419
2020-04-24,3653
2020-04-25,3842
2020-04-26,4002
2020-04-27,4134
2020-04-28,4412
2020-04-29,4518
2020-04-30,4775
2020-05-01,5141
2020-05-02,5295
2020-05-03,5606
2020-05-04,5808
2020-05-05,6222
2020-05-06,6414
2020-05-07,6749
2020-05-08,7199
2020-05-09,7481
2020-05-10,7895
2020-05-11,8309
2020-05-12,8808
2020-05-13,9288
2020-05-14,9727
2020-05-15,10210
2020-05-16,10790
2020-05-17,11249
2020-05-18,11800
2020-05-19,12272
2020-05-20,12801
2020-05-21,13247
2020-05-22,13874
2020-05-23,14754
2020-05-24,15432
2020-05-25,15966
2020-05-26,16716
2020-05-27,17190
2020-05-28,17879
2020-05-29,18922
2020-05-30,20225
2020-05-31,19901
2020-06-01,19863
2020-06-02,19682
2020-06-03,20021
2020-06-04,21112
2020-06-05,21852
2020-06-06,22440
2020-06-07,22655
2020-06-08,22984
2020-06-09,24172
2020-06-10,24916
2020-06-11,25934
2020-06-12,26598
2020-06-13,27728
2020-06-14,29450
2020-06-15,31385
2020-06-16,32764
2020-06-17,33856
2020-06-18,35587
2020-06-19,37243
2020-06-20,38008
2020-06-21,39055
2020-06-22,39905
2020-06-23,40709
2020-06-24,42951
2020-06-25,44596
2020-06-26,46694
2020-06-27,49379
