Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,21.0
2020-02-26,10.0
2020-02-27,0.0
2020-02-28,5.0
2020-02-29,3.0
2020-03-01,6.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,3.0
2020-03-05,3.0
2020-03-06,5.0
2020-03-07,25.0
2020-03-08,0.0
2020-03-09,24.0
2020-03-10,1.0
2020-03-11,85.0
2020-03-12,2.0
2020-03-13,13.0
2020-03-14,2.0
2020-03-15,2.0
2020-03-16,14.0
2020-03-17,13.0
2020-03-18,15.0
2020-03-19,23.0
2020-03-20,19.0
2020-03-21,12.0
2020-03-22,24.0
2020-03-23,43.0
2020-03-24,15.0
2020-03-25,27.0
2020-03-26,39.0
2020-03-27,8.0
2020-03-28,10.0
2020-03-29,23.0
2020-03-30,16.0
2020-03-31,52.0
2020-04-01,2.0
2020-04-02,74.0
2020-04-03,29.0
2020-04-04,16.0
2020-04-05,12.0
2020-04-06,56.0
2020-04-07,55.0
2020-04-08,12.0
2020-04-09,64.0
2020-04-10,38.0
2020-04-11,115.0
2020-04-12,96.0
2020-04-13,225.0
2020-04-14,167.0
2020-04-15,143.0
2020-04-16,29.0
2020-04-17,40.0
2020-04-18,33.0
2020-04-19,108.0
2020-04-20,26.0
2020-04-21,66.0
2020-04-22,54.0
2020-04-23,190.0
2020-04-24,301.0
2020-04-25,70.0
2020-04-26,59.0
2020-04-27,76.0
2020-04-28,88.0
2020-04-29,110.0
2020-04-30,119.0
2020-05-01,130.0
2020-05-02,114.0
2020-05-03,99.0
2020-05-04,150.0
2020-05-05,187.0
2020-05-06,214.0
2020-05-07,265.0
2020-05-08,245.0
2020-05-09,330.0
2020-05-10,167.0
2020-05-11,295.0
2020-05-12,295.0
2020-05-13,285.0
2020-05-14,382.0
2020-05-15,385.0
2020-05-16,164.0
2020-05-17,209.0
2020-05-18,228.0
2020-05-19,348.0
2020-05-20,356.0
2020-05-21,286.0
2020-05-22,240.0
