Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,3
2020-04-03,3
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,7
2020-04-08,7
2020-04-09,7
2020-04-10,8
2020-04-11,10
2020-04-12,11
2020-04-13,14
2020-04-14,14
2020-04-15,14
2020-04-16,14
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,12
2020-04-21,13
2020-04-22,17
2020-04-23,27
2020-04-24,26
2020-04-25,26
2020-04-26,27
2020-04-27,29
2020-04-28,28
2020-04-29,26
2020-04-30,27
2020-05-01,25
2020-05-02,26
2020-05-03,27
2020-05-04,29
2020-05-05,29
2020-05-06,31
2020-05-07,26
2020-05-08,26
2020-05-09,39
