Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,3
2020-04-03,3
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,8
2020-04-08,8
2020-04-09,8
2020-04-10,9
2020-04-11,12
2020-04-12,13
2020-04-13,16
2020-04-14,16
2020-04-15,16
2020-04-16,16
2020-04-17,17
2020-04-18,17
2020-04-19,17
2020-04-20,17
2020-04-21,18
2020-04-22,23
2020-04-23,33
2020-04-24,33
2020-04-25,33
2020-04-26,34
2020-04-27,36
2020-04-28,36
2020-04-29,36
2020-04-30,37
2020-05-01,37
2020-05-02,38
2020-05-03,39
2020-05-04,41
2020-05-05,41
2020-05-06,43
2020-05-07,43
2020-05-08,43
2020-05-09,56
