Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,3
2020-03-05,4
2020-03-06,4
2020-03-07,5
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,6
2020-03-14,8
2020-03-15,8
2020-03-16,8
2020-03-17,20
2020-03-18,20
2020-03-19,28
2020-03-20,52
2020-03-21,52
2020-03-22,102
2020-03-23,102
2020-03-24,205
2020-03-25,283
2020-03-26,368
2020-03-27,368
2020-03-28,514
2020-03-29,514
2020-03-30,589
2020-03-31,647
2020-04-01,708
2020-04-02,797
2020-04-03,868
2020-04-04,950
2020-04-05,1039
2020-04-06,1106
2020-04-07,1160
2020-04-08,1210
2020-04-09,1239
2020-04-10,1283
2020-04-11,1312
2020-04-12,1330
2020-04-13,1349
2020-04-14,1366
2020-04-15,1386
2020-04-16,1401
2020-04-17,1409
2020-04-18,1422
2020-04-19,1431
2020-04-20,1440
2020-04-21,1445
2020-04-22,1448
2020-04-23,1451
2020-04-24,1456
2020-04-25,1461
2020-04-26,1469
