Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,5
2020-03-11,18
2020-03-12,24
2020-03-13,35
2020-03-14,46
2020-03-15,48
2020-03-16,57
2020-03-17,72
2020-03-18,89
2020-03-19,103
2020-03-20,135
2020-03-21,171
2020-03-22,222
2020-03-23,249
2020-03-24,303
2020-03-25,384
2020-03-26,457
2020-03-27,528
2020-03-28,659
2020-03-29,741
2020-03-30,785
2020-03-31,900
2020-04-01,1060
2020-04-02,1171
2020-04-03,1476
2020-04-04,1624
2020-04-05,1908
2020-04-06,2200
2020-04-07,2447
2020-04-08,2666
2020-04-09,2867
2020-04-10,3105
2020-04-11,3380
2020-04-12,3630
2020-04-13,4054
2020-04-14,4465
2020-04-15,4873
2020-04-16,5318
2020-04-17,5690
2020-04-18,5994
2020-04-19,6318
2020-04-20,6630
2020-04-21,6890
2020-04-22,7114
2020-04-23,7276
2020-04-24,7483
2020-04-25,7779
2020-04-26,8042
2020-04-27,8275
2020-04-28,8497
2020-04-29,8724
2020-04-30,9009
2020-05-01,9205
2020-05-02,9362
2020-05-03,9464
2020-05-04,9557
2020-05-05,9677
2020-05-06,9791
2020-05-07,9848
2020-05-08,9943
2020-05-09,10032
2020-05-10,10114
2020-05-11,10176
2020-05-12,10243
2020-05-13,10295
2020-05-14,10374
2020-05-15,10438
2020-05-16,10496
2020-05-17,10610
2020-05-18,10699
2020-05-19,10733
2020-05-20,10833
2020-05-21,10919
2020-05-22,11024
2020-05-23,11092
2020-05-24,11159
2020-05-25,11193
2020-05-26,11227
2020-05-27,11275
2020-05-28,11300
2020-05-29,11354
2020-05-30,11381
2020-05-31,11412
2020-06-01,11430
2020-06-02,11454
2020-06-03,11523
2020-06-04,11571
2020-06-05,11667
2020-06-06,11741
2020-06-07,11823
2020-06-08,11896
2020-06-09,11965
2020-06-10,12031
2020-06-11,12102
2020-06-12,12175
2020-06-13,12251
2020-06-14,12310
2020-06-15,12367
2020-06-16,12426
2020-06-17,12522
2020-06-18,12616
2020-06-19,12709
2020-06-20,12803
2020-06-21,12894
2020-06-22,12990
2020-06-23,13092
2020-06-24,13235
2020-06-25,13372
2020-06-26,13565
2020-06-27,13792
