Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.0
2020-03-07,0.0
2020-03-08,2.0
2020-03-09,13.0
2020-03-10,8.0
2020-03-11,7.0
2020-03-12,0.0
2020-03-13,35.0
2020-03-14,27.0
2020-03-15,21.0
2020-03-16,17.0
2020-03-17,38.0
2020-03-18,55.0
2020-03-19,82.0
2020-03-20,60.0
2020-03-21,81.0
2020-03-22,64.0
2020-03-23,65.0
2020-03-24,107.0
2020-03-25,104.0
2020-03-26,103.0
2020-03-27,153.0
2020-03-28,109.0
2020-03-29,130.0
2020-03-30,129.0
2020-03-31,114.0
2020-04-01,149.0
2020-04-02,113.0
2020-04-03,196.0
2020-04-04,106.0
2020-04-05,181.0
2020-04-06,218.0
2020-04-07,247.0
2020-04-08,218.0
2020-04-09,337.0
2020-04-10,219.0
2020-04-11,330.0
2020-04-12,399.0
2020-04-13,316.0
2020-04-14,282.0
2020-04-15,297.0
2020-04-16,380.0
2020-04-17,407.0
2020-04-18,325.0
2020-04-19,327.0
2020-04-20,185.0
2020-04-21,375.0
2020-04-22,283.0
2020-04-23,357.0
2020-04-24,436.0
2020-04-25,396.0
2020-04-26,275.0
2020-04-27,214.0
2020-04-28,415.0
2020-04-29,260.0
2020-04-30,347.0
2020-05-01,433.0
2020-05-02,292.0
2020-05-03,349.0
2020-05-04,395.0
2020-05-05,484.0
2020-05-06,367.0
2020-05-07,338.0
2020-05-08,336.0
2020-05-09,533.0
2020-05-10,387.0
2020-05-11,233.0
2020-05-12,484.0
2020-05-13,689.0
2020-05-14,568.0
2020-05-15,490.0
2020-05-16,529.0
2020-05-17,489.0
2020-05-18,496.0
2020-05-19,486.0
2020-05-20,693.0
2020-05-21,973.0
2020-05-22,634.0
2020-05-23,949.0
2020-05-24,526.0
2020-05-25,479.0
2020-05-26,415.0
2020-05-27,686.0
2020-05-28,687.0
2020-05-29,678.0
2020-05-30,557.0
2020-05-31,700.0
2020-06-01,467.0
2020-06-02,609.0
2020-06-03,684.0
2020-06-04,585.0
2020-06-05,703.0
2020-06-06,993.0
2020-06-07,672.0
2020-06-08,847.0
2020-06-09,1043.0
2020-06-10,1240.0
2020-06-11,979.0
2020-06-12,1111.0
2020-06-13,1014.0
2020-06-14,857.0
2020-06-15,1017.0
2020-06-16,1106.0
2020-06-17,1031.0
2020-06-18,1331.0
2020-06-19,1041.0
2020-06-20,1226.0
2020-06-21,862.0
