Date,Currently Infected
2020-02-15,5
2020-02-16,5
2020-02-17,5
2020-02-18,5
2020-02-19,5
2020-02-20,6
2020-02-21,8
2020-02-22,10
2020-02-23,11
2020-02-24,11
2020-02-25,7
2020-02-26,8
2020-02-27,8
2020-02-28,10
2020-02-29,10
2020-03-01,13
2020-03-02,17
2020-03-03,17
2020-03-04,30
2020-03-05,36
2020-03-06,39
2020-03-07,49
2020-03-08,58
2020-03-09,68
2020-03-10,91
2020-03-11,101
2020-03-12,127
2020-03-13,170
2020-03-14,218
2020-03-15,268
2020-03-16,369
2020-03-17,423
2020-03-18,547
2020-03-19,703
2020-03-20,875
2020-03-21,1019
2020-03-22,1514
2020-03-23,1762
2020-03-24,2191
2020-03-25,2547
2020-03-26,2867
2020-03-27,3195
2020-03-28,3451
2020-03-29,3902
2020-03-30,4197
2020-03-31,4398
2020-04-01,4680
2020-04-02,4704
2020-04-03,4841
2020-04-04,4935
2020-04-05,4633
2020-04-06,3418
2020-04-07,3392
2020-04-08,3189
2020-04-09,3114
2020-04-10,3043
2020-04-11,2982
2020-04-12,2916
2020-04-13,2804
2020-04-14,2741
2020-04-15,2698
2020-04-16,2658
2020-04-17,2647
2020-04-18,2349
2020-04-19,2311
2020-04-20,2296
2020-04-21,1889
2020-04-22,1655
2020-04-23,1547
2020-04-24,1460
2020-04-25,1243
2020-04-26,1073
2020-04-27,1051
2020-04-28,1024
2020-04-29,990
2020-04-30,947
2020-05-01,929
2020-05-02,899
2020-05-03,889
2020-05-04,871
2020-05-05,864
2020-05-06,794
2020-05-07,759
2020-05-08,738
2020-05-09,697
2020-05-10,681
2020-05-11,672
2020-05-12,638
2020-05-13,611
2020-05-14,590
2020-05-15,584
2020-05-16,576
2020-05-17,580
2020-05-18,569
2020-05-19,555
2020-05-20,535
2020-05-21,509
2020-05-22,515
2020-05-23,515
2020-05-24,504
2020-05-25,485
2020-05-26,478
2020-05-27,470
2020-05-28,467
2020-05-29,488
