Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,2
2020-03-19,4
2020-03-20,9
2020-03-21,21
2020-03-22,30
2020-03-23,37
2020-03-24,44
2020-03-25,59
2020-03-26,75
2020-03-27,92
2020-03-28,108
2020-03-29,131
2020-03-30,168
2020-03-31,214
2020-04-01,277
2020-04-02,356
2020-04-03,425
2020-04-04,501
2020-04-05,574
2020-04-06,649
2020-04-07,725
2020-04-08,812
2020-04-09,908
2020-04-10,1006
2020-04-11,1101
2020-04-12,1198
2020-04-13,1296
2020-04-14,1403
2020-04-15,1518
2020-04-16,1643
2020-04-17,1769
2020-04-18,1890
2020-04-19,2017
2020-04-20,2140
2020-04-21,2259
2020-04-22,2376
2020-04-23,2491
2020-04-24,2600
2020-04-25,2706
2020-04-26,2805
2020-04-27,2900
2020-04-28,2992
2020-04-29,3081
2020-04-30,3174
2020-05-01,3258
2020-05-02,3336
2020-05-03,3397
2020-05-04,3461
2020-05-05,3520
2020-05-06,3584
2020-05-07,3641
2020-05-08,3689
2020-05-09,3739
2020-05-10,3786
2020-05-11,3841
2020-05-12,3894
2020-05-13,3952
2020-05-14,4007
2020-05-15,4055
2020-05-16,4096
2020-05-17,4140
2020-05-18,4171
2020-05-19,4199
2020-05-20,4222
2020-05-21,4249
2020-05-22,4276
2020-05-23,4308
2020-05-24,4340
2020-05-25,4369
2020-05-26,4397
2020-05-27,4431
2020-05-28,4461
2020-05-29,4489
2020-05-30,4515
2020-05-31,4540
2020-06-01,4563
2020-06-02,4585
2020-06-03,4609
2020-06-04,4630
2020-06-05,4648
2020-06-06,4669
2020-06-07,4692
2020-06-08,4711
2020-06-09,4729
2020-06-10,4746
2020-06-11,4763
2020-06-12,4778
2020-06-13,4792
2020-06-14,4807
2020-06-15,4825
2020-06-16,4842
2020-06-17,4861
2020-06-18,4882
2020-06-19,4905
2020-06-20,4927
2020-06-21,4950
