Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,5.0
2020-02-28,4.0
2020-02-29,2.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,15.0
2020-03-04,22.0
2020-03-05,42.0
2020-03-06,43.0
2020-03-07,24.0
2020-03-08,42.0
2020-03-09,57.0
2020-03-10,95.0
2020-03-11,145.0
2020-03-12,187.0
2020-03-13,127.0
2020-03-14,147.0
2020-03-15,79.0
2020-03-16,81.0
2020-03-17,75.0
2020-03-18,105.0
2020-03-19,138.0
2020-03-20,200.0
2020-03-21,131.0
2020-03-22,164.0
2020-03-23,112.0
2020-03-24,253.0
2020-03-25,227.0
2020-03-26,314.0
2020-03-27,229.0
2020-03-28,378.0
2020-03-29,253.0
2020-03-30,328.0
2020-03-31,407.0
2020-04-01,512.0
2020-04-02,621.0
2020-04-03,563.0
2020-04-04,312.0
2020-04-05,387.0
2020-04-06,376.0
2020-04-07,487.0
2020-04-08,726.0
2020-04-09,722.0
2020-04-10,544.0
2020-04-11,466.0
2020-04-12,332.0
2020-04-13,465.0
2020-04-14,497.0
2020-04-15,482.0
2020-04-16,613.0
2020-04-17,676.0
2020-04-18,606.0
2020-04-19,563.0
2020-04-20,392.0
2020-04-21,545.0
2020-04-22,682.0
2020-04-23,751.0
2020-04-24,812.0
2020-04-25,610.0
2020-04-26,463.0
2020-04-27,286.0
2020-04-28,695.0
2020-04-29,681.0
2020-04-30,790.0
2020-05-01,428.0
2020-05-02,562.0
2020-05-03,235.0
2020-05-04,404.0
2020-05-05,495.0
2020-05-06,702.0
2020-05-07,705.0
2020-05-08,642.0
2020-05-09,656.0
2020-05-10,401.0
2020-05-11,348.0
2020-05-12,602.0
2020-05-13,637.0
2020-05-14,673.0
2020-05-15,625.0
2020-05-16,470.0
2020-05-17,466.0
2020-05-18,234.0
2020-05-19,422.0
2020-05-20,724.0
2020-05-21,649.0
2020-05-22,637.0
2020-05-23,379.0
2020-05-24,271.0
2020-05-25,384.0
2020-05-26,597.0
2020-05-27,648.0
2020-05-28,639.0
2020-05-29,749.0
