Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,3.0
2020-03-06,2.0
2020-03-07,7.0
2020-03-08,3.0
2020-03-09,11.0
2020-03-10,3.0
2020-03-11,15.0
2020-03-12,13.0
2020-03-13,18.0
2020-03-14,12.0
2020-03-15,36.0
2020-03-16,21.0
2020-03-17,27.0
2020-03-18,89.0
2020-03-19,108.0
2020-03-20,78.0
2020-03-21,112.0
2020-03-22,112.0
2020-03-23,186.0
2020-03-24,240.0
2020-03-25,231.0
2020-03-26,365.0
2020-03-27,299.0
2020-03-28,319.0
2020-03-29,292.0
2020-03-30,418.0
2020-03-31,499.0
2020-04-01,509.0
2020-04-02,1355.0
2020-04-03,1120.0
2020-04-04,1053.0
2020-04-05,518.0
2020-04-06,833.0
2020-04-07,1417.0
2020-04-08,541.0
2020-04-09,1341.0
2020-04-10,987.0
2020-04-11,635.0
2020-04-12,561.0
2020-04-13,574.0
2020-04-14,762.0
2020-04-15,1438.0
2020-04-16,753.0
2020-04-17,761.0
2020-04-18,642.0
2020-04-19,395.0
2020-04-20,547.0
2020-04-21,531.0
2020-04-22,544.0
2020-04-23,516.0
2020-04-24,389.0
2020-04-25,369.0
2020-04-26,242.0
2020-04-27,437.0
2020-04-28,367.0
2020-04-29,427.0
2020-04-30,289.0
2020-05-01,218.0
2020-05-02,166.0
2020-05-03,135.0
2020-05-04,306.0
2020-05-05,330.0
2020-05-06,278.0
2020-05-07,178.0
2020-05-08,243.0
2020-05-09,80.0
