Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,4
2020-03-25,5
2020-03-26,5
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,6
2020-04-02,6
2020-04-03,6
2020-04-04,8
2020-04-05,9
2020-04-06,12
2020-04-07,17
2020-04-08,20
2020-04-09,21
2020-04-10,27
2020-04-11,30
2020-04-12,34
2020-04-13,39
2020-04-14,46
2020-04-15,50
2020-04-16,60
2020-04-17,75
2020-04-18,84
2020-04-19,91
2020-04-20,101
2020-04-21,110
2020-04-22,120
2020-04-23,127
2020-04-24,131
2020-04-25,140
2020-04-26,145
2020-04-27,152
2020-04-28,155
2020-04-29,163
2020-04-30,168
2020-05-01,170
2020-05-02,175
2020-05-03,177
2020-05-04,182
2020-05-05,183
2020-05-06,186
2020-05-07,199
2020-05-08,206
2020-05-09,214
2020-05-10,228
2020-05-11,239
2020-05-12,250
2020-05-13,269
2020-05-14,283
2020-05-15,298
2020-05-16,314
2020-05-17,328
2020-05-18,349
2020-05-19,370
2020-05-20,386
2020-05-21,408
2020-05-22,432
