Date,Total Coronavirus Cases
2020-02-15,72
2020-02-16,75
2020-02-17,77
2020-02-18,81
2020-02-19,84
2020-02-20,85
2020-02-21,86
2020-02-22,89
2020-02-23,89
2020-02-24,90
2020-02-25,91
2020-02-26,93
2020-02-27,96
2020-02-28,98
2020-02-29,102
2020-03-01,106
2020-03-02,108
2020-03-03,110
2020-03-04,112
2020-03-05,117
2020-03-06,130
2020-03-07,138
2020-03-08,150
2020-03-09,160
2020-03-10,166
2020-03-11,178
2020-03-12,187
2020-03-13,200
2020-03-14,212
2020-03-15,226
2020-03-16,243
2020-03-17,266
2020-03-18,313
2020-03-19,345
2020-03-20,385
2020-03-21,432
2020-03-22,455
2020-03-23,509
2020-03-24,558
2020-03-25,631
2020-03-26,683
2020-03-27,732
2020-03-28,802
2020-03-29,844
2020-03-30,879
2020-03-31,926
2020-04-01,1000
2020-04-02,1049
2020-04-03,1114
2020-04-04,1189
2020-04-05,1309
2020-04-06,1375
2020-04-07,1481
2020-04-08,1623
2020-04-09,1910
2020-04-10,2108
2020-04-11,2299
2020-04-12,2532
2020-04-13,2918
2020-04-14,3252
2020-04-15,3699
2020-04-16,4427
2020-04-17,5050
2020-04-18,5992
2020-04-19,6588
2020-04-20,8014
2020-04-21,9125
2020-04-22,10141
2020-04-23,11178
2020-04-24,12075
2020-04-25,12693
2020-04-26,13624
2020-04-27,14423
2020-04-28,14951
2020-04-29,15641
2020-04-30,16169
2020-05-01,17101
2020-05-02,17548
2020-05-03,18205
2020-05-04,18778
2020-05-05,19410
2020-05-06,20198
2020-05-07,20939
2020-05-08,21707
2020-05-09,22460
2020-05-10,23336
2020-05-11,23787
2020-05-12,24671
2020-05-13,25346
2020-05-14,26098
2020-05-15,26891
2020-05-16,27356
2020-05-17,28038
2020-05-18,28343
2020-05-19,28794
2020-05-20,29364
2020-05-21,29812
2020-05-22,30426
2020-05-23,31068
2020-05-24,31616
2020-05-25,31960
2020-05-26,32343
2020-05-27,32876
2020-05-28,33249
2020-05-29,33860
2020-05-30,34366
2020-05-31,34884
2020-06-01,35292
2020-06-02,35836
2020-06-03,36405
2020-06-04,36922
2020-06-05,37183
2020-06-06,37527
2020-06-07,37910
2020-06-08,38296
2020-06-09,38514
2020-06-10,38965
2020-06-11,39387
2020-06-12,39850
2020-06-13,40197
2020-06-14,40604
2020-06-15,40818
2020-06-16,40969
2020-06-17,41216
2020-06-18,41473
2020-06-19,41615
2020-06-20,41833
2020-06-21,42095
