Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,8
2020-03-14,8
2020-03-15,10
2020-03-16,12
2020-03-17,13
2020-03-18,15
2020-03-19,15
2020-03-20,19
2020-03-21,19
2020-03-22,19
2020-03-23,19
2020-03-24,21
2020-03-25,26
2020-03-26,26
2020-03-27,26
2020-03-28,30
2020-03-29,32
2020-03-30,36
2020-03-31,38
2020-04-01,44
2020-04-02,47
2020-04-03,53
2020-04-04,53
2020-04-05,58
2020-04-06,59
2020-04-07,63
2020-04-08,63
2020-04-09,63
2020-04-10,63
2020-04-11,69
2020-04-12,72
2020-04-13,73
2020-04-14,105
2020-04-15,125
2020-04-16,143
2020-04-17,143
2020-04-18,163
2020-04-19,173
2020-04-20,223
2020-04-21,228
2020-04-22,252
2020-04-23,252
2020-04-24,257
2020-04-25,288
2020-04-26,305
2020-04-27,350
2020-04-28,364
2020-04-29,396
2020-04-30,396
2020-05-01,422
2020-05-02,432
2020-05-03,463
2020-05-04,469
2020-05-05,471
2020-05-06,473
2020-05-07,478
2020-05-08,488
2020-05-09,490
2020-05-10,498
2020-05-11,502
2020-05-12,505
2020-05-13,507
2020-05-14,509
2020-05-15,509
2020-05-16,511
2020-05-17,517
2020-05-18,520
2020-05-19,520
2020-05-20,520
2020-05-21,529
2020-05-22,534
