Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,6
2020-03-06,9
2020-03-07,9
2020-03-08,9
2020-03-09,9
2020-03-10,11
2020-03-11,11
2020-03-12,15
2020-03-13,15
2020-03-14,19
2020-03-15,23
2020-03-16,25
2020-03-17,34
2020-03-18,34
2020-03-19,44
2020-03-20,44
2020-03-21,53
2020-03-22,65
2020-03-23,72
2020-03-24,87
2020-03-25,93
2020-03-26,122
2020-03-27,165
2020-03-28,182
2020-03-29,209
2020-03-30,273
2020-03-31,298
2020-04-01,359
2020-04-02,400
2020-04-03,443
2020-04-04,521
2020-04-05,584
2020-04-06,641
2020-04-07,717
2020-04-08,822
2020-04-09,926
2020-04-10,991
2020-04-11,1058
2020-04-12,1098
2020-04-13,1148
2020-04-14,1197
2020-04-15,1253
2020-04-16,1283
2020-04-17,1340
2020-04-18,1373
2020-04-19,1398
2020-04-20,1436
2020-04-21,1480
2020-04-22,1518
2020-04-23,1548
2020-04-24,1592
2020-04-25,1617
2020-04-26,1645
2020-04-27,1678
2020-04-28,1717
2020-04-29,1766
2020-04-30,1804
2020-05-01,1854
2020-05-02,1894
2020-05-03,1932
2020-05-04,1984
2020-05-05,2060
2020-05-06,2127
2020-05-07,2204
2020-05-08,2279
2020-05-09,2422
2020-05-10,2519
2020-05-11,2589
2020-05-12,2693
2020-05-13,2758
2020-05-14,2879
2020-05-15,2980
2020-05-16,3138
2020-05-17,3274
2020-05-18,3387
2020-05-19,3518
2020-05-20,3631
2020-05-21,3749
2020-05-22,3855
2020-05-23,3982
2020-05-24,4122
2020-05-25,4271
2020-05-26,4403
2020-05-27,4568
2020-05-28,4759
2020-05-29,4989
2020-05-30,5246
2020-05-31,5494
2020-06-01,5662
2020-06-02,5935
2020-06-03,6260
2020-06-04,6522
2020-06-05,6860
2020-06-06,7239
2020-06-07,7553
2020-06-08,7876
2020-06-09,8191
2020-06-10,8530
2020-06-11,8882
2020-06-12,9218
2020-06-13,9570
2020-06-14,9957
2020-06-15,10324
2020-06-16,10662
2020-06-17,10991
2020-06-18,11329
2020-06-19,11767
2020-06-20,12238
2020-06-21,12729
