Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,11.11
2020-03-10,11.11
2020-03-11,10.0
2020-03-12,8.33
2020-03-13,8.33
2020-03-14,8.33
2020-03-15,8.33
2020-03-16,26.67
2020-03-17,40.0
2020-03-18,42.86
2020-03-19,52.17
2020-03-20,46.15
2020-03-21,57.58
2020-03-22,58.82
2020-03-23,6.98
2020-03-24,18.84
2020-03-25,16.29
2020-03-26,14.61
2020-03-27,13.45
2020-03-28,13.16
2020-03-29,10.19
2020-03-30,7.53
2020-03-31,7.52
2020-04-01,6.16
2020-04-02,8.04
2020-04-03,8.69
2020-04-04,8.17
2020-04-05,8.69
2020-04-06,8.2
2020-04-07,8.64
2020-04-08,8.58
2020-04-09,8.75
2020-04-10,8.64
2020-04-11,9.22
2020-04-12,9.09
2020-04-13,9.14
2020-04-14,9.88
2020-04-15,10.11
2020-04-16,10.94
2020-04-17,11.05
2020-04-18,11.6
2020-04-19,11.82
2020-04-20,11.84
2020-04-21,12.21
2020-04-22,12.37
2020-04-23,12.7
2020-04-24,12.95
2020-04-25,13.05
2020-04-26,12.88
