Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,8
2020-03-18,9
2020-03-19,12
2020-03-20,12
2020-03-21,19
2020-03-22,20
2020-03-23,24
2020-03-24,26
2020-03-25,36
2020-03-26,39
2020-03-27,55
2020-03-28,60
2020-03-29,65
2020-03-30,89
2020-03-31,101
2020-04-01,114
2020-04-02,173
2020-04-03,208
2020-04-04,231
2020-04-05,280
2020-04-06,323
2020-04-07,381
2020-04-08,427
2020-04-09,509
2020-04-10,569
2020-04-11,653
2020-04-12,717
2020-04-13,780
2020-04-14,903
2020-04-15,1010
2020-04-16,1195
2020-04-17,1310
2020-04-18,1470
2020-04-19,1587
2020-04-20,1690
2020-04-21,1834
2020-04-22,1974
2020-04-23,2147
2020-04-24,2302
2020-04-25,2465
2020-04-26,2560
2020-04-27,2707
2020-04-28,2859
2020-04-29,2996
2020-04-30,3184
2020-05-01,3391
2020-05-02,3566
2020-05-03,3682
2020-05-04,3854
2020-05-05,4043
2020-05-06,4232
2020-05-07,4408
2020-05-08,4569
2020-05-09,4693
2020-05-10,4870
2020-05-11,4993
2020-05-12,5169
2020-05-13,5302
2020-05-14,5472
2020-05-15,5562
2020-05-16,5679
2020-05-17,5782
2020-05-18,5842
2020-05-19,5912
2020-05-20,6031
2020-05-21,6152
2020-05-22,6250
2020-05-23,6355
2020-05-24,6424
2020-05-25,6545
2020-05-26,6639
2020-05-27,6765
2020-05-28,6877
2020-05-29,6979
2020-05-30,7073
2020-05-31,7295
2020-06-01,7326
2020-06-02,7395
2020-06-03,7498
2020-06-04,7637
2020-06-05,7703
2020-06-06,7773
2020-06-07,7800
2020-06-08,7835
2020-06-09,7897
2020-06-10,7960
2020-06-11,7994
2020-06-12,8049
2020-06-13,8107
2020-06-14,8146
2020-06-15,8175
2020-06-16,8213
2020-06-17,8254
2020-06-18,8300
2020-06-19,8346
2020-06-20,8410
2020-06-21,8430
