Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,3
2020-03-21,3
2020-03-22,4
2020-03-23,6
2020-03-24,7
2020-03-25,9
2020-03-26,19
2020-03-27,22
2020-03-28,36
2020-03-29,46
2020-03-30,54
2020-03-31,71
2020-04-01,85
2020-04-02,98
2020-04-03,120
2020-04-04,137
2020-04-05,158
2020-04-06,174
2020-04-07,210
2020-04-08,235
2020-04-09,263
2020-04-10,287
2020-04-11,320
2020-04-12,334
2020-04-13,365
2020-04-14,406
2020-04-15,444
2020-04-16,486
2020-04-17,530
2020-04-18,571
2020-04-19,610
2020-04-20,687
2020-04-21,730
2020-04-22,769
2020-04-23,794
2020-04-24,1014
2020-04-25,1063
2020-04-26,1087
2020-04-27,1102
2020-04-28,1159
2020-04-29,1190
2020-04-30,1232
2020-05-01,1265
2020-05-02,1286
2020-05-03,1303
2020-05-04,1319
2020-05-05,1339
2020-05-06,1375
2020-05-07,1403
2020-05-08,1429
2020-05-09,1446
2020-05-10,1458
2020-05-11,1467
2020-05-12,1488
2020-05-13,1497
2020-05-14,1506
2020-05-15,1518
2020-05-16,1533
2020-05-17,1543
2020-05-18,1547
2020-05-19,1561
2020-05-20,1571
2020-05-21,1583
2020-05-22,1592
2020-05-23,1604
2020-05-24,1608
2020-05-25,1606
2020-05-26,1615
2020-05-27,1631
2020-05-28,1639
2020-05-29,1645
2020-05-30,1651
2020-05-31,1650
2020-06-01,1650
2020-06-02,1658
2020-06-03,1659
2020-06-04,1664
2020-06-05,1670
2020-06-06,1678
2020-06-07,1679
2020-06-08,1683
2020-06-09,1691
2020-06-10,1695
2020-06-11,1703
2020-06-12,1705
2020-06-13,1705
2020-06-14,1706
2020-06-15,1706
2020-06-16,1709
2020-06-17,1710
2020-06-18,1714
2020-06-19,1714
2020-06-20,1715
2020-06-21,1715
2020-06-22,1717
2020-06-23,1720
2020-06-24,1726
2020-06-25,1727
2020-06-26,1730
2020-06-27,1734
