Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,13.0
2020-03-18,17.0
2020-03-19,134.0
2020-03-20,39.0
2020-03-21,59.0
2020-03-22,0.0
2020-03-23,138.0
2020-03-24,60.0
2020-03-25,86.0
2020-03-26,128.0
2020-03-27,183.0
2020-03-28,205.0
2020-03-29,296.0
2020-03-30,168.0
2020-03-31,169.0
2020-04-01,436.0
2020-04-02,363.0
2020-04-03,377.0
2020-04-04,375.0
2020-04-05,504.0
2020-04-06,235.0
2020-04-07,171.0
2020-04-08,524.0
2020-04-09,483.0
2020-04-10,404.0
2020-04-11,418.0
2020-04-12,477.0
2020-04-13,244.0
2020-04-14,161.0
2020-04-15,239.0
2020-04-16,455.0
2020-04-17,399.0
2020-04-18,387.0
2020-04-19,409.0
2020-04-20,138.0
2020-04-21,107.0
2020-04-22,431.0
2020-04-23,367.0
2020-04-24,322.0
2020-04-25,295.0
2020-04-26,368.0
2020-04-27,93.0
2020-04-28,65.0
2020-04-29,340.0
2020-04-30,293.0
2020-05-01,316.0
2020-05-02,319.0
2020-05-03,98.0
2020-05-04,69.0
2020-05-05,63.0
2020-05-06,290.0
2020-05-07,249.0
2020-05-08,221.0
2020-05-09,210.0
2020-05-10,231.0
2020-05-11,55.0
2020-05-12,35.0
2020-05-13,205.0
2020-05-14,174.0
2020-05-15,190.0
2020-05-16,159.0
2020-05-17,170.0
2020-05-18,27.0
2020-05-19,30.0
2020-05-20,160.0
2020-05-21,141.0
2020-05-22,135.0
2020-05-23,32.0
2020-05-24,117.0
2020-05-25,25.0
2020-05-26,23.0
2020-05-27,145.0
2020-05-28,107.0
2020-05-29,110.0
