Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,4.0
2020-03-06,6.0
2020-03-07,1.0
2020-03-08,3.0
2020-03-09,3.0
2020-03-10,0.0
2020-03-11,8.0
2020-03-12,6.0
2020-03-13,11.0
2020-03-14,14.0
2020-03-15,4.0
2020-03-16,30.0
2020-03-17,21.0
2020-03-18,33.0
2020-03-19,52.0
2020-03-20,54.0
2020-03-21,53.0
2020-03-22,61.0
2020-03-23,71.0
2020-03-24,57.0
2020-03-25,163.0
2020-03-26,182.0
2020-03-27,196.0
2020-03-28,228.0
2020-03-29,270.0
2020-03-30,302.0
2020-03-31,501.0
2020-04-01,440.0
2020-04-02,771.0
2020-04-03,601.0
2020-04-04,582.0
2020-04-05,658.0
2020-04-06,954.0
2020-04-07,1154.0
2020-04-08,1175.0
2020-04-09,1459.0
2020-04-10,1786.0
2020-04-11,1667.0
2020-04-12,2186.0
2020-04-13,2558.0
2020-04-14,2774.0
2020-04-15,3388.0
2020-04-16,3448.0
2020-04-17,4070.0
2020-04-18,4785.0
2020-04-19,6060.0
2020-04-20,4268.0
2020-04-21,5642.0
2020-04-22,5236.0
2020-04-23,4774.0
2020-04-24,5849.0
2020-04-25,5966.0
2020-04-26,6361.0
