Date,Total Coronavirus Cases
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,7
2020-03-06,13
2020-03-07,14
2020-03-08,17
2020-03-09,20
2020-03-10,20
2020-03-11,28
2020-03-12,34
2020-03-13,45
2020-03-14,59
2020-03-15,63
2020-03-16,93
2020-03-17,114
2020-03-18,147
2020-03-19,199
2020-03-20,253
2020-03-21,306
2020-03-22,367
2020-03-23,438
2020-03-24,495
2020-03-25,658
2020-03-26,840
2020-03-27,1036
2020-03-28,1264
2020-03-29,1534
2020-03-30,1836
2020-03-31,2337
2020-04-01,2777
2020-04-02,3548
2020-04-03,4149
2020-04-04,4731
2020-04-05,5389
2020-04-06,6343
2020-04-07,7497
2020-04-08,8672
2020-04-09,10131
2020-04-10,11917
2020-04-11,13584
2020-04-12,15770
2020-04-13,18328
2020-04-14,21102
2020-04-15,24490
2020-04-16,27938
2020-04-17,32008
2020-04-18,36793
2020-04-19,42853
2020-04-20,47121
2020-04-21,52763
2020-04-22,57999
2020-04-23,62773
2020-04-24,68622
2020-04-25,74588
2020-04-26,80949
2020-04-27,87147
2020-04-28,93558
2020-04-29,99399
2020-04-30,106498
2020-05-01,114431
2020-05-02,124054
2020-05-03,134687
2020-05-04,145268
2020-05-05,155370
2020-05-06,165929
2020-05-07,177160
2020-05-08,187859
2020-05-09,198676
2020-05-10,209688
2020-05-11,221344
2020-05-12,232243
2020-05-13,242271
